ID,medv
3,24.79609087876879
6,17.84997190876878
8,15.943052328768788
9,8.05937657876878
10,11.80595878876878
18,20.35918901876879
20,18.06792621876879
25,13.129599108768778
26,13.937094618768775
27,13.206401398768781
29,18.27450666876879
30,23.10415809876879
33,17.922388168768784
34,16.21141018876878
36,26.70059880876879
37,22.095047898768787
38,24.483999058768788
42,31.443333108768787
49,10.486156818768785
53,23.47600290876878
60,22.46553877876879
63,20.453169088768785
70,21.31030424876879
72,21.736312538768786
79,19.862104468768788
80,22.10719550876879
83,22.14415509876879
92,21.30116486876878
93,23.836639538768786
96,29.308990428768784
98,46.1372826687688
99,42.981909148768786
100,28.21537144876879
105,21.26254090876879
106,18.040355438768785
111,22.18930344876879
113,15.520228338768783
114,15.931083668768789
116,12.816458178768778
126,18.96419114876878
130,19.810513598768793
131,22.638227088768783
133,23.49008783876879
136,15.841979418768785
141,17.53234534876879
144,14.412216838768783
145,16.207263968768782
147,17.290424838768786
152,19.956358338768776
153,19.48225582876878
156,23.987518328768786
158,27.200339088768782
163,61.3603778687688
169,21.971342088768782
185,25.56132791876879
186,24.19368342876879
189,31.83070565876879
196,47.85660107876879
197,29.85147352876878
199,30.32381368876878
200,33.989125128768784
203,49.1431456887688
208,25.448686388768788
210,20.75397664876878
211,21.33699319876879
213,20.15161558876879
216,26.863457188768784
218,19.613708488768783
219,23.17221166876879
220,23.190472578768784
221,38.88251011876879
229,47.96047864876879
232,33.6281540487688
238,33.62513602876879
239,24.64554239876878
240,25.554441798768778
242,18.806333118768784
246,19.365235968768786
248,18.250910218768784
253,32.244232438768776
255,21.47872135876878
256,10.133534408768776
257,42.94658455876879
258,49.70410218876879
259,36.20385186876877
260,29.199879378768784
268,42.94681217876877
270,17.692601208768785
271,20.399153708768786
276,27.806790248768785
277,35.631319668768796
278,34.82993572876879
279,21.981516328768787
281,47.7521009287688
288,21.844045928768782
290,26.269404378768776
292,33.67528954876878
295,22.66406536876879
296,30.221607718768794
299,26.523628998768775
300,37.240945848768796
301,29.690341998768776
308,25.71666541876879
314,21.79465269876879
315,22.918199488768792
320,20.38209673876879
322,22.236918168768792
323,24.54950171876879
324,18.005886128768783
327,25.468376338768795
330,22.920838118768778
332,8.681277588768781
333,11.55691205876878
336,21.035329228768788
338,18.930782868768784
346,19.683631728768784
347,19.686669418768787
351,21.02441344876878
352,25.48951343876877
354,29.67925769876878
355,17.613059618768776
356,19.333708018768775
362,18.94538572876878
364,13.949857208768783
365,51.77661858876878
370,46.04620517876879
376,48.401836168768774
379,15.05300893876878
380,13.17841886876878
381,49.35290344876878
382,13.03925042876878
386,7.954344608768777
389,6.951713848768777
391,17.47686279876878
394,10.309493098768781
396,9.21554694876878
398,10.706200188768785
400,3.0389144287687753
403,7.7415193587687785
405,7.94239745876878
406,9.17581194876878
407,21.89622077876878
410,17.109283198768782
411,46.586269618768775
412,12.198270618768777
413,10.462611408768778
417,8.376325368768775
421,11.405985158768779
422,16.977010308768783
423,21.69289565876878
424,22.237720058768783
427,15.90562924876878
431,11.68555848876878
436,11.801485338768778
437,14.27399658876878
439,5.609582548768777
447,16.191792048768782
450,16.393047318768783
451,12.806475408768778
455,10.998761998768778
457,14.47039042876878
471,21.048968008768792
474,23.532440898768783
476,18.288294768768786
483,18.56985957876879
486,19.377201538768787
490,12.20928601876878
495,21.05530339876879
496,17.39633471876878
497,19.20583944876878
499,22.00253205876879
501,21.130713568768787
505,27.187179478768794
